route_code	bom_id	process_id	process_code	product_code	bom_item_code	remark
ROUTE-XLSX-00001	2910	0		YXN.037.011.1002	YXN.037.011.1011	route-random-bom-seed
ROUTE-XLSX-00001	2911	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2912	0		YXN.037.011.1002	YXN.041.011.1008	route-random-bom-seed
ROUTE-XLSX-00001	2913	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2914	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2915	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2916	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2917	0		YXN.037.011.1002	YXN.037.011.1011	route-random-bom-seed
ROUTE-XLSX-00001	2918	0		YXN.037.011.1002	YXN.037.011.1009	route-random-bom-seed
ROUTE-XLSX-00001	2919	0		YXN.037.011.1002	YXN.037.011.1009	route-random-bom-seed
ROUTE-XLSX-00001	2920	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2921	0		YXN.037.011.1002	YXN.037.011.1009	route-random-bom-seed
ROUTE-XLSX-00001	2922	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2923	0		YXN.037.011.1002	YXN.041.011.1008	route-random-bom-seed
ROUTE-XLSX-00001	2924	0		YXN.037.011.1002	YXN.037.011.1009	route-random-bom-seed
ROUTE-XLSX-00001	2925	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2926	0		YXN.037.011.1002	YXN.037.011.1011	route-random-bom-seed
ROUTE-XLSX-00001	2927	0		YXN.037.011.1002	YXN.041.011.1008	route-random-bom-seed
ROUTE-XLSX-00001	2928	0		YXN.037.011.1002	YXN.037.011.1011	route-random-bom-seed
ROUTE-XLSX-00001	2929	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2930	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2931	0		YXN.037.011.1002	YXN.041.011.1003	route-random-bom-seed
ROUTE-XLSX-00001	2932	0		YXN.037.011.1002	YXN.037.011.1007	route-random-bom-seed
ROUTE-XLSX-00001	2933	0		YXN.037.011.1002	YXN.037.011.1009	route-random-bom-seed
ROUTE-XLSX-00002	2756	0		YXN.069.001.1011	YXN.069.001.1006	route-random-bom-seed
ROUTE-XLSX-00002	2757	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2758	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2759	0		YXN.069.001.1011	YXN.069.001.1003	route-random-bom-seed
ROUTE-XLSX-00002	2760	0		YXN.069.001.1011	YXN.069.001.1003	route-random-bom-seed
ROUTE-XLSX-00002	2761	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2762	0		YXN.069.001.1011	YXN.069.001.1006	route-random-bom-seed
ROUTE-XLSX-00002	2763	0		YXN.069.001.1011	YXN.069.001.1013	route-random-bom-seed
ROUTE-XLSX-00002	2764	0		YXN.069.001.1011	YXN.069.001.1009	route-random-bom-seed
ROUTE-XLSX-00002	2765	0		YXN.069.001.1011	YXN.069.001.1006	route-random-bom-seed
ROUTE-XLSX-00002	2766	0		YXN.069.001.1011	YXN.069.001.1013	route-random-bom-seed
ROUTE-XLSX-00002	2767	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2768	0		YXN.069.001.1011	YXN.069.001.1009	route-random-bom-seed
ROUTE-XLSX-00002	2770	0		YXN.069.001.1011	YXN.069.001.1003	route-random-bom-seed
ROUTE-XLSX-00002	2771	0		YXN.069.001.1011	YXN.069.001.1003	route-random-bom-seed
ROUTE-XLSX-00002	2772	0		YXN.069.001.1011	YXN.069.001.1009	route-random-bom-seed
ROUTE-XLSX-00002	2773	0		YXN.069.001.1011	YXN.069.001.1006	route-random-bom-seed
ROUTE-XLSX-00002	2774	0		YXN.069.001.1011	YXN.069.001.1006	route-random-bom-seed
ROUTE-XLSX-00002	2777	0		YXN.069.001.1011	YXN.069.001.1013	route-random-bom-seed
ROUTE-XLSX-00002	2778	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2780	0		YXN.069.001.1011	YXN.069.001.1014	route-random-bom-seed
ROUTE-XLSX-00002	2781	0		YXN.069.001.1011	YXN.069.001.1003	route-random-bom-seed
