ROUTE-XLSX-00001	YXN.037.011.1002	YXN.037.011.1007	6	0	0	NULL	NULL	NULL
ROUTE-XLSX-00001	YXN.037.011.1002	YXN.037.011.1009	4	0	0	NULL	NULL	NULL
ROUTE-XLSX-00001	YXN.037.011.1002	YXN.037.011.1011	4	0	0	NULL	NULL	NULL
ROUTE-XLSX-00001	YXN.037.011.1002	YXN.041.011.1003	6	0	0	NULL	NULL	NULL
ROUTE-XLSX-00001	YXN.037.011.1002	YXN.041.011.1008	3	0	0	NULL	NULL	NULL
ROUTE-XLSX-00002	YXN.069.001.1011	YXN.069.001.1003	6	1	0	1.000000	0	route-random-bom-seed-master
ROUTE-XLSX-00002	YXN.069.001.1011	YXN.069.001.1006	6	1	0	1.000000	0	route-random-bom-seed-master
ROUTE-XLSX-00002	YXN.069.001.1011	YXN.069.001.1009	4	1	0	1.000000	0	route-random-bom-seed-master
ROUTE-XLSX-00002	YXN.069.001.1011	YXN.069.001.1013	4	1	0	1.000000	0	route-random-bom-seed-master
ROUTE-XLSX-00002	YXN.069.001.1011	YXN.069.001.1014	6	1	0	1.000000	0	route-random-bom-seed-master
